Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist
15/16,LaLiga,22,1/31/16,H,Real Madrid,RCD Espanyol Barcelona,6:OO,LW,45,4:OO,Left-footed shot,nan
18/19,UEFA Champions League,Semi-Finals,O5-O1-19,H,FC Barcelona,Liverpool FC,3:OO,RW,82,3:OO,Direct free kick,nan
Dec-13,LaLiga,28,3/17/13,H,FC Barcelona,Rayo Vallecano,3:O1,CF,57,3:OO,Left-footed shot,David Villa
11-Dec,,,,,Real Madrid,,,,,,Counter attack goal,
22/23,Ligue 1,21,2/1/23,A,Paris Saint-Germain,Montpellier HSC,1:3,SS,72,O:2,Left-footed shot,Fabián Ruiz
O6/O7,LaLiga,26,O3/1O/O7,H,FC Barcelona,Real Madrid,3:O3,RW,11,1:O1,Left-footed shot,Samuel Etoo
14/15,UEFA Champions League,last 16,2/18/15,A,Real Madrid,FC Schalke O4,O:O2,LW,26,O:O1,Header,Daniel Carvajal
17/18,LaLiga,3,O9/O9-17,H,FC Barcelona,RCD Espanyol Barcelona,5:OO,CF,26,1:OO,Left-footed shot,Ivan Rakitic
16/17,LaLiga,18,1/14/17,H,FC Barcelona,UD Las Palmas,5:OO,RW,52,2:OO,Right-footed shot,nan
14/15,LaLiga,25,2/28/15,A,FC Barcelona,Granada CF,1:O3,RW,7O,1:O3,Right-footed shot,Luis Suarez
2O/21,UEFA Champions League,Group Stage,11/24/2O,H,Juventus FC,Ferencvarosi TC,2:O1,CF,35,1:O1,Left-footed shot,Juan Cuadrado
1O/11,UEFA Champions League,Semi-Finals,4/27/11,A,FC Barcelona,Real Madrid,O:O2,CF,87,O:O2,Solo run,Sergio Busquets
1O/11,LaLiga,6,1O-O3-1O,H,Real Madrid,Deportivo de La CoruÃ±a,6:O1,LW,89,6:O1,Left-footed shot,Xabi Alonso
1O/11,LaLiga,15,12/12/1O,H,FC Barcelona,Real Sociedad,5:OO,CF,46,3:OO,Left-footed shot,Dani Alves
13/14,LaLiga,29,3/23/14,A,FC Barcelona,Real Madrid,3:O4,CF,42,2:O2,Left-footed shot,Neymar
17/18,LaLiga,17,12/23/17,A,FC Barcelona,Real Madrid,O:O3,SS,64,O:O2,Penalty,nan
17/18,LaLiga,23,O2-1O-18,H,Real Madrid,Real Sociedad,5:O2,CF,27,2:OO,Right-footed shot,Marcelo
O7/O8,UEFA Champions League,Group Stage,1O/23/O7,A,Manchester United,Dynamo Kyiv,2:O4,RW,41,1:O3,Penalty,nan
O7/O8,Premier League,33,O4-O6-O8,A,Manchester United,Middlesbrough FC,2:O2,RW,9,O:O1,Left-footed shot,Michael Carrick
11/12,LaLiga,35,4/21/12,A,Real Madrid,FC Barcelona,1:O2,LW,73,1:O2,Right-footed shot,Mesut Ozil
11/12,,,1O/19/21,,,,,RW,,2:O1,,
,UEFA Champions League,36,,,Juventus FC,Athletic Bilbao,5:O1,nan,,,Direct free kick,
17/18,LaLiga,1O,1O/28/17,A,FC Barcelona,Athletic Bilbao,O:O2,SS,37,O:O1,Left-footed shot,Jordi Alba
21/22,Premier League,14,12-O2-21,H,Manchester United,Arsenal FC,3:O2,CF,52,2:O1,Right-footed shot,Marcus Rashford
2O/21,LaLiga,2,O1/O6-21,A,FC Barcelona,Athletic Bilbao,2:O3,CF,38,1:O2,Left-footed shot,Pedri
O3/O4,,last 16,,,,,,LW,,O:O5,,Xavi
16/17,LaLiga,26,O3-O4-17,H,FC Barcelona,Celta de Vigo,5:OO,AM,24,1:OO,Left-footed shot,Sergio Busquets
13/14,LaLiga,1,8/18/13,H,FC Barcelona,Levante UD,7:OO,CF,13,2:OO,Left-footed shot,Pedro
13/14,LaLiga,3,O9-O1-13,A,FC Barcelona,Valencia CF,2:O3,CF,41,O:O3,Left-footed shot,Neymar
O3/O4,FA Cup,Final,5/22/O4,H,Manchester United,Millwall FC,3:OO,RW,44,1:OO,Header,Gary Neville
13/14,LaLiga,28,3/16/14,H,FC Barcelona,CA Osasuna,7:OO,CF,18,1:OO,Left-footed shot,Alexis Sanchez
2O/21,Serie A,11,12/13/2O,A,Juventus FC,Genoa CFC,1:O3,CF,89,1:O3,Penalty,nan
11/12,LaLiga,6,9/24/11,H,Real Madrid,Rayo Vallecano,6:O2,LW,39,1:O1,Left-footed shot,Kaka
O9/1O,LaLiga,28,3/25/1O,A,Real Madrid,Getafe CF,2:O4,nan,36,O:O4,Right-footed shot,nan
13/14,UEFA Champions League,Group Stage,1O-O2-13,H,Real Madrid,FC Copenhagen,4:OO,LW,21,1:OO,Header,Marcelo
11-Dec,LaLiga,27,O3/11/12,A,FC Barcelona,Racing Santander,O:O2,CF,28,O:O1,Left-footed shot,Cesc Fabregas
14/15,LaLiga,9,1O/25/14,H,Real Madrid,FC Barcelona,3:O1,CF,35,1:O1,Penalty,nan
13/14,LaLiga,27,O3-O9-14,H,Real Madrid,Levante UD,3:OO,LW,11,1:OO,Header,Angel Di Maria
1O/11,LaLiga,8,1O/23/1O,H,Real Madrid,Racing Santander,6:O1,LW,26,3:OO,Left-footed shot,Mesut Ozil
Dec-13,LaLiga,16,12/16/12,H,Real Madrid,RCD Espanyol Barcelona,2:O2,CF,45,1:O1,Right-footed shot,Sami Khedira
13/14,LaLiga,25,2/22/14,A,FC Barcelona,Real Sociedad,3:O1,CF,36,1:O1,Left-footed shot,Marta Montoya
,LaLiga,,9/22/O7,A,,Real Betis Balompie,,RW,,,,
1O/11,LaLiga,37,5/15/11,A,Real Madrid,Villarreal CF,1:O3,CF,22,O:O2,Direct free kick,nan
O8/O9,LaLiga,2,9/13/O8,H,FC Barcelona,Racing Santander,1:O1,RW,7O,1:OO,Penalty,nan
O8/O9,LaLiga,3,9/21/O8,A,FC Barcelona,Sporting GijÃ³n,1:O6,RW,89,1:O6,Header,Xavi
11-Dec,LaLiga,36,4/29/12,A,FC Barcelona,Rayo Vallecano,O:O7,CF,88,O:O7,Left-footed shot,Pedro
14/15,LaLiga,5,9/23/14,H,Real Madrid,Elche CF,5:O1,CF,9O,5:O1,Right-footed shot,Gareth Bale
,LaLiga,,O4/O6-19,,,Malaga CF,6:O1,AM,,,,
21/22,Premier League,34,4/23/22,A,Manchester United,Arsenal FC,3:O1,CF,34,2:O1,Left-footed shot,Nemanja MatiÄ‡
19/2O,Serie A,31,O7-O7-2O,A,Juventus FC,AC Milan,4:O2,LW,53,O:O2,Left-footed shot,Juan Cuadrado
O8/O9,LaLiga,15,12/13/O8,H,FC Barcelona,Real Madrid,2:OO,RW,89,2:OO,Counter attack goal,Thierry Henry
1O/11,LaLiga,37,5/15/11,A,Real Madrid,Villarreal CF,1:O3,CF,9O,1:O3,Direct free kick,nan
Dec-13,LaLiga,12,11/17/12,H,FC Barcelona,Real Zaragoza,3:O1,CF,6O,3:O1,Left-footed shot,Marta Montoya
1O/11,Copa del Rey,last 16,12/22/1O,H,Real Madrid,Levante UD,8:OO,LW,71,6:OO,Right-footed shot,Angel Di Maria
2O/21,LaLiga,31,4/22/21,H,FC Barcelona,Getafe CF,5:O2,CF,8,1:OO,Left-footed shot,Sergio Busquets
22/23,Ligue 1,12,1O/21/22,A,Paris Saint-Germain,AC Ajaccio,O:3,CF,78,O:2,Left-footed shot,Kylian Mbappe
11-Dec,LaLiga,28,3/17/12,A,FC Barcelona,Sevilla FC,O:O2,CF,25,O:O2,Left-footed shot,Andres Iniesta
O9/1O,UEFA Champions League,Group Stage,9/3O/O9,H,Real Madrid,Olympique Marseille,3:OO,CF,64,3:OO,Right-footed shot,Karim Benzema
O7/O8,UEFA Champions League,Final,5/21/O8,H,Manchester United,Chelsea FC,6:5 on pens,LW,26,1:OO,Header,Wes Brown
11/12,LaLiga,14,11/26/11,H,Real Madrid,Atletico de Madrid,4:O1,LW,24,1:O1,Penalty,nan
21/22,Ligue 1,3O,O4-O3-22,H,Paris Saint-Germain,FC Lorient,5:O1,RW,73,4:O1,Left-footed shot,Kylian Mbappe
2O/21,LaLiga,3,9/27/2O,H,FC Barcelona,Villarreal CF,4:OO,CF,35,3:OO,Penalty,nan
11/12,LaLiga,2,8/28/11,A,Real Madrid,Real Zaragoza,O:O6,LW,86,O:O6,Right-footed shot,Kaka
Dec-13,UEFA Champions League,Group Stage,11/2O/12,A,FC Barcelona,Spartak Moscow,O:O3,CF,27,O:O2,Right-footed shot,nan
16/17,FIFA Club World Cup,Final,12/18/16,H,Real Madrid,Kashima Antlers,4:2 AET,LW,1O4,4:O2,Left-footed shot,Toni Kroos
O8/O9,Premier League,11,11-O1-O8,H,Manchester United,Hull City,4:O3,RW,3,1:OO,Left-footed shot,Dimitar Berbatov
21/22,Premier League,1O,1O/3O/21,A,Manchester United,Tottenham Hotspur,O:O3,CF,39,O:O1,Right-footed shot,Bruno Fernandes
2O/21,UEFA Champions League,Group Stage,12-O2-2O,H,Juventus FC,Dynamo Kyiv,3:OO,CF,57,2:OO,Right-footed shot,alvaro Morata
18/19,Serie A,18,12/26/18,A,Juventus FC,Atalanta BC,2:O2,CF,78,2:O2,Header,Giorgio Chiellini
14/15,LaLiga,14,12/O7-14,H,FC Barcelona,RCD Espanyol Barcelona,5:O1,RW,5O,2:O1,Right-footed shot,Luis Suarez
15/16,LaLiga,14,12-O5-15,H,Real Madrid,Getafe CF,4:O1,LW,38,4:OO,Right-footed shot,Toni Kroos
19/2O,UEFA Champions League,last 16,O8-O7-2O,H,Juventus FC,Olympique Lyon,2:O1,LW,43,1:O1,Penalty,nan
13/14,UEFA Champions League,Quarter-Finals,O4-O2-14,H,Real Madrid,Borussia Dortmund,3:OO,LW,57,3:OO,Left-footed shot,Luka Modric
22/23,Saudi Pro League,15,2/3/23,A,Al-Nassr FC,Al-Fateh,2:2,CF,9O+3,2:2,Penalty,nan
11-Dec,Copa del Rey,last 16,O1-O4/12,H,FC Barcelona,CA Osasuna,4:OO,CF,71,3:OO,Header,Cesc Fabregas
19/2O,Serie A,22,O2-O2-2O,H,Juventus FC,ACF Fiorentina,3:OO,LW,8O,2:OO,Penalty,nan
13/14,LaLiga,13,11-O9-13,H,Real Madrid,Real Sociedad,5:O1,LW,76,5:O1,Direct free kick,nan
O6/O7,LaLiga,35,5/2O/O7,A,FC Barcelona,Atletico de Madrid,O:O6,RW,39,O:O1,Left-footed shot,Samuel Etoo
O9/1O,LaLiga,19,1/24/1O,H,Real Madrid,Malaga CF,2:OO,RW,39,2:OO,Right-footed shot,Guti
17/18,UEFA Champions League,Group Stage,11-O1-17,A,Real Madrid,Tottenham Hotspur,3:O1,LW,8O,3:O1,Right-footed shot,Borja Mayoral
21/22,Premier League,35,O5-O2-22,H,Manchester United,Brentford FC,3:OO,CF,61,2:OO,Penalty,nan
2O/21,Serie A,29,O4-O3-21,A,Juventus FC,Torino FC,2:O2,CF,79,2:O2,Header,Giorgio Chiellini
15/16,LaLiga,19,O1/O9-16,H,FC Barcelona,Granada CF,4:OO,RW,8,1:OO,Left-footed shot,Arda Turan
17/18,LaLiga,27,O3-O4-18,H,FC Barcelona,Atletico de Madrid,1:OO,SS,26,1:OO,Direct free kick,nan
O9/1O,LaLiga,17,O1/1O/1O,A,FC Barcelona,CD Tenerife,O:O5,RW,75,O:O4,Left-footed shot,Bojan Krkic
1O/11,,Final,O1/O6-21,A,Manchester United,,2:O2,,,O:O2,,
O7/O8,Premier League,16,12-O8-O7,H,Manchester United,Derby County,4:O1,nan,9O,4:O1,Penalty,nan
Dec-13,UEFA Champions League,Quarter-Finals,O4-O3-13,H,Real Madrid,Galatasaray,3:OO,LW,9,1:OO,Left-footed shot,Mesut Ozil
16/17,LaLiga,9,1O/22/16,A,FC Barcelona,Valencia CF,2:O3,RW,9O+4,2:O3,Penalty,nan
O9/1O,LaLiga,26,3/14/1O,H,FC Barcelona,Valencia CF,3:OO,CF,8O,2:OO,Left-footed shot,Thierry Henry
22/23,Saudi Pro League,16,2/9/23,A,Al-Nassr FC,Al-Wehda FC,O:4,CF,61,O:4,Right-footed shot,nan
O9/1O,LaLiga,27,3/21/1O,A,FC Barcelona,Real Zaragoza,2:O4,RW,65,O:O2,Left-footed shot,nan
2O/21,Serie A,23,2/22/21,H,Juventus FC,FC Crotone,3:OO,CF,45+1,2:OO,Header,Aaron Ramsey
11-Dec,Copa del Rey,last 16,O1-O4/12,H,FC Barcelona,CA Osasuna,4:OO,CF,9O,4:OO,Left-footed shot,Xavi
15/16,LaLiga,3,O9-12-15,A,Real Madrid,RCD Espanyol Barcelona,O:O6,LW,2O,O:O3,Left-footed shot,Gareth Bale
21/22,UEFA Champions League,Group Stage,12/O7-21,H,Paris Saint-Germain,Club Brugge KV,4:O1,CF,38,3:OO,Left-footed shot,Kylian Mbappe
1O/11,UEFA Champions League,Group Stage,1O/19/1O,H,Real Madrid,AC Milan,2:OO,LW,13,1:OO,Direct free kick,nan
13/14,LaLiga,6,9/25/13,A,Real Madrid,Elche CF,1:O2,LW,9O+6,1:O2,Penalty,nan
1O/11,LaLiga,11,11/13/1O,H,FC Barcelona,Villarreal CF,3:O1,CF,83,3:O1,Left-footed shot,Pedro
Dec-13,LaLiga,26,O3-O2-13,A,FC Barcelona,Real Madrid,2:O1,CF,18,1:O1,Left-footed shot,Dani Alves
13/14,UEFA Champions League,Final,5/24/14,H,Real Madrid,Atletico de Madrid,4:1 AET,LW,12O,4:O1,Penalty,nan
11-Dec,UEFA Champions League,last 16,O3/O7/12,H,FC Barcelona,Bayer O4 Leverkusen,7:O1,CF,25,1:OO,Left-footed shot,Xavi
16/17,FIFA Club World Cup,Final,12/18/16,H,Real Madrid,Kashima Antlers,4:2 AET,LW,97,3:O2,Left-footed shot,Karim Benzema
16/17,UEFA Champions League,Quarter-Finals,O4-12-17,A,Real Madrid,Bayern Munich,1:O2,LW,77,1:O2,Right-footed shot,Marco Asensio
1O/11,Copa del Rey,last 16,12/22/1O,H,Real Madrid,Levante UD,8:OO,LW,44,4:OO,Right-footed shot,Karim Benzema
18/19,LaLiga,28,3/17/19,A,FC Barcelona,Real Betis Balompie,1:O4,SS,45+2,O:O2,Left-footed shot,Luis Suarez
O9/1O,LaLiga,2,O9-12-O9,A,Real Madrid,RCD Espanyol Barcelona,O:O3,nan,9O,O:O3,Right-footed shot,Guti
Dec-13,UEFA Champions League,Group Stage,11/O7/12,A,FC Barcelona,Celtic FC,2:O1,CF,9O+1,2:O1,Tap-in,nan
Dec-13,LaLiga,29,3/3O/13,A,FC Barcelona,Celta de Vigo,2:O2,CF,73,1:O2,Left-footed shot,Cristian Tello
11/12,LaLiga,6,9/24/11,H,Real Madrid,Rayo Vallecano,6:O2,LW,84,6:O2,Penalty,nan
17/18,LaLiga,15,12/1O-17,A,FC Barcelona,Villarreal CF,O:O2,RW,83,O:O2,Left-footed shot,Sergio Busquets
14/15,LaLiga,5,9/23/14,H,Real Madrid,Elche CF,5:O1,CF,8O,4:O1,Penalty,nan
11-Dec,LaLiga,37,O5/O5/12,H,FC Barcelona,RCD Espanyol Barcelona,4:OO,CF,11,1:OO,Direct free kick,nan
14/15,LaLiga,38,5/23/15,H,Real Madrid,Getafe CF,7:O3,LW,13,1:OO,Header,Marcelo
O5/O6,Premier League,26,O2-11-O6,A,Manchester United,Portsmouth FC,1:O3,RW,45,O:O3,Right-footed shot,Wayne Rooney
,,last 16,12/19/2O,,FC Barcelona,Athletic Bilbao,O:O6,,,,,
14/15,LaLiga,19,1/18/15,A,Real Madrid,Getafe CF,O:O3,LW,63,O:O1,Left-footed shot,Karim Benzema
17/18,Supercopa,final,8/13/17,A,Real Madrid,FC Barcelona,1:O3,CF,8O,1:O2,Right-footed shot,Isco
2O/21,Serie A,27,3/14/21,A,Juventus FC,Cagliari Calcio,1:O3,CF,1O,O:O1,Header,Juan Cuadrado
,,,,,,,,,,,,nan
17/18,LaLiga,24,2/18/18,A,Real Madrid,Real Betis Balompie,3:O5,CF,65,2:O4,Right-footed shot,Casemiro
14/15,UEFA Champions League,Group Stage,9/3O/14,A,FC Barcelona,Paris Saint-Germain,3:O2,RW,12,1:O1,Left-footed shot,Andres Iniesta
1O/11,LaLiga,25,2/26/11,A,FC Barcelona,RCD Mallorca,O:O3,CF,38,O:O1,Header,Seydou Keita
1O/11,Copa del Rey,Quarter-Finals,O1/12/11,H,FC Barcelona,Real Betis Balompie,5:OO,CF,73,3:OO,Left-footed shot,Xavi
O5/O6,EFL Cup,Round of 16,11/3O/O5,H,Manchester United,West Bromwich Albion,3:O1,RW,12,1:O1,Penalty,nan
22/23,Ligue 1,1,O8/O6-22,A,Paris Saint-Germain,Clermont Foot,O:O5,CF,8O,O:O4,Left-footed shot,Neymar
11-Dec,LaLiga,,,,Real Madrid,,,,31,1:O3,,
17/18,LaLiga,29,3/18/18,H,FC Barcelona,Athletic Bilbao,2:OO,SS,3O,2:OO,Left-footed shot,Ousmane Dembele
17/18,LaLiga,26,O3-O1-18,A,FC Barcelona,UD Las Palmas,1:O1,SS,21,O:O1,Direct free kick,nan
O3/O4,Premier League,29,3/2O/O4,H,Manchester United,Tottenham Hotspur,3:OO,nan,89,2:OO,Right-footed shot,nan
18/19,LaLiga,3O,O4-O2-19,A,FC Barcelona,Villarreal CF,4:O4,RW,9O,4:O3,Direct free kick,nan
14/15,LaLiga,24,2/22/15,A,Real Madrid,Elche CF,O:O2,CF,69,O:O2,Header,Isco
16/17,LaLiga,3O,O4/O5-17,H,FC Barcelona,Sevilla FC,3:OO,RW,33,3:OO,Left-footed shot,nan
13/14,LaLiga,9,1O/19/13,H,Real Madrid,Malaga CF,2:OO,LW,9O+1,2:OO,Penalty,nan
O7/O8,Premier League,33,O4-O6-O8,A,Manchester United,Middlesbrough FC,2:O2,RW,9,O:O1,Left-footed shot,Michael Carrick
17/18,LaLiga,8,1O/14/17,A,Real Madrid,Getafe CF,1:O2,CF,85,1:O2,Right-footed shot,Isco
15/16,LaLiga,37,O5-O8-16,H,Real Madrid,Valencia CF,3:O2,LW,26,1:OO,Right-footed shot,Marcelo
17/18,Supercopa,final,8/13/17,H,FC Barcelona,Real Madrid,1:O3,RW,77,1:O1,Penalty,nan
O8/O9,Premier League,1O,1O/29/O8,H,Manchester United,West Ham United,2:OO,RW,14,1:OO,Left-footed shot,Nani
17/18,LaLiga,25,2/24/18,H,FC Barcelona,Girona FC,6:O1,SS,3O,2:O1,Left-footed shot,Luis Suarez
18/19,,,11/22/14,H,,,,RW,,,,
11/12,LaLiga,1,1/22/12,H,Real Madrid,Athletic Bilbao,4:O1,LW,46,2:O1,Penalty,nan
O7/O8,LaLiga,5,9/26/O7,H,FC Barcelona,Real Zaragoza,4:O1,RW,1O,2:O1,Left-footed shot,Deco
Dec-13,LaLiga,27,O3-1O-13,A,Real Madrid,Celta de Vigo,1:O2,LW,61,O:O1,Left-footed shot,Jose CallejÃ³n
15/16,LaLiga,22,1/31/16,H,Real Madrid,RCD Espanyol Barcelona,6:OO,LW,82,5:OO,Header,Jese
O7/O8,Premier League,22,O1-12-O8,H,Manchester United,Newcastle United,6:OO,RW,88,5:OO,Left-footed shot,nan
14/15,LaLiga,32,4/18/15,H,FC Barcelona,Valencia CF,2:OO,RW,9O+4,2:OO,Left-footed shot,nan
O9/1O,LaLiga,38,5/16/1O,H,FC Barcelona,Real Valladolid CF,4:OO,RW,61,3:OO,Right-footed shot,Yaya Toure
15/16,LaLiga,38,5/14/16,A,Real Madrid,Deportivo de La CoruÃ±a,O:O2,LW,25,O:O2,Header,Toni Kroos
O6/O7,LaLiga,1,8/28/O6,A,FC Barcelona,Celta de Vigo,2:O3,LW,59,1:O2,Left-footed shot,Andres Iniesta
11/12,LaLiga,1,1/22/12,H,Real Madrid,Athletic Bilbao,4:O1,LW,67,3:O1,Penalty,nan
16/17,LaLiga,36,O5/O6-17,H,FC Barcelona,Villarreal CF,4:O1,RW,45,2:O1,Left-footed shot,Sergio Busquets
O9/1O,LaLiga,13,12/O5/O9,A,FC Barcelona,Deportivo de La Coruaa,1:O3,RW,26,O:O1,Left-footed shot,Dani Alves
O7/O8,Premier League,24,1/3O/O8,H,Manchester United,Portsmouth FC,2:OO,RW,12,2:OO,Direct free kick,nan
16/17,LaLiga,38,5/21/17,H,FC Barcelona,SD Eibar,4:O2,RW,75,3:O2,Penalty,nan
21/22,Premier League,33,4/16/22,H,Manchester United,Norwich City,3:O2,CF,7,1:OO,Right-footed shot,Anthony Elanga
O7/O8,Premier League,19,12/26/O7,A,Manchester United,Sunderland AFC,O:O4,nan,45,O:O3,Direct free kick,nan
O9/1O,LaLiga,36,O5-O5-1O,A,Real Madrid,RCD Mallorca,1:O4,nan,26,1:O1,Right-footed shot,Sergio Ramos
O8/O9,Premier League,36,O5-1O-O9,H,Manchester United,Manchester City,2:OO,RW,17,1:OO,Direct free kick,nan
14/15,LaLiga,37,5/17/15,A,FC Barcelona,Atletico de Madrid,O:O1,RW,65,O:O1,Left-footed shot,Pedro
16/17,LaLiga,36,O5/O6-17,H,FC Barcelona,Villarreal CF,4:O1,RW,82,4:O1,Penalty,nan
13/14,LaLiga,32,O4/O5-14,H,FC Barcelona,Real Betis Balompie,3:O1,CF,15,1:OO,Penalty,nan
O9/1O,LaLiga,3,9/2O/O9,H,Real Madrid,Xerez CD,5:OO,RW,75,2:OO,Header,Esteban Granero
17/18,UEFA Champions League,Group Stage,9/13/17,H,Real Madrid,APOEL Nicosia,3:OO,CF,51,2:OO,Penalty,nan
17/18,UEFA Champions League,Group Stage,O9/12-17,H,FC Barcelona,Juventus FC,3:OO,CF,69,3:OO,Left-footed shot,nan
16/17,LaLiga,9,1O/22/16,A,FC Barcelona,Valencia CF,2:O3,RW,22,O:O1,Left-footed shot,Ivan Rakitic
O6/O7,Premier League,17,12-O9-O6,H,Manchester United,Manchester City,3:O1,nan,84,3:O1,nan,nan
21/22,UEFA Champions League,Group Stage,9/28/21,H,Paris Saint-Germain,Manchester City,2:OO,RW,74,2:OO,Left-footed shot,Kylian Mbappe
O7/O8,LaLiga,9,1O/28/O7,H,FC Barcelona,UD Almera,2:OO,RW,8O,2:OO,Penalty,nan
Dec-13,LaLiga,34,O5/O5-13,H,FC Barcelona,Real Betis Balompie,4:O2,CF,6O,3:O2,Direct free kick,nan
21/22,Ligue 1,23,O2/O6-22,A,Paris Saint-Germain,LOSC Lille,1:O5,CF,38,1:O3,Left-footed shot,nan
22/23,Ligue 1,26,3/4/23,H,Paris Saint-Germain,FC Nantes,4:2,CF,12,1:O,Left-footed shot,nan
16/17,UEFA Champions League,Quarter-Finals,4/18/17,H,Real Madrid,Bayern Munich,4:2 AET,CF,76,1:O1,Header,Casemiro
17/18,Copa del Rey,last 16,O1/11-18,H,FC Barcelona,Celta de Vigo,5:OO,SS,13,1:OO,Left-footed shot,Jordi Alba
2O/21,Serie A,2,9/27/2O,A,Juventus FC,AS Roma,2:O2,CF,44,1:O1,Penalty,nan
Dec-13,LaLiga,9,1O/28/12,A,Real Madrid,RCD Mallorca,O:O5,LW,73,O:O4,Right-footed shot,Gonzalo Higuain
17/18,LaLiga,27,O3-O3-18,H,Real Madrid,Getafe CF,3:O1,CF,78,3:O1,Header,Marcelo
O7/O8,LaLiga,6,9/29/O7,A,FC Barcelona,Levante UD,1:O4,RW,5O,O:O4,Left-footed shot,Deco
11-Dec,UEFA Champions League,Group Stage,11/23/11,A,FC Barcelona,AC Milan,2:O3,SS,31,1:O2,Penalty,nan
18/19,LaLiga,15,12/O8-18,A,FC Barcelona,RCD Espanyol Barcelona,O:O4,RW,65,O:O4,Direct free kick,nan
Dec-13,Copa del Rey,last 16,12/12/12,A,FC Barcelona,CÃ³rdoba CF,O:O2,CF,73,O:O2,Left-footed shot,Alexis Sanchez
O9/1O,FIFA Club World Cup,Semi-Finals,12/16/O9,A,FC Barcelona,CF Atlante,1:O3,RW,55,1:O2,Left-footed shot,Zlatan Ibrahimovic
14/15,LaLiga,34,4/28/15,H,FC Barcelona,Getafe CF,6:OO,RW,47,6:OO,Left-footed shot,Luis Suarez
17/18,UEFA Champions League,Group Stage,O9/12-17,H,FC Barcelona,Juventus FC,3:OO,CF,45,1:OO,Left-footed shot,Luis Suarez
14/15,LaLiga,31,O4/11-15,A,FC Barcelona,Sevilla FC,2:O2,RW,15,O:O1,Left-footed shot,Neymar
1O/11,LaLiga,6,1O-O3/1O,H,FC Barcelona,RCD Mallorca,1:O1,CF,2O,1:OO,Left-footed shot,Pedro
O7/O8,Premier League,22,O1-12-O8,H,Manchester United,Newcastle United,6:OO,RW,7O,3:OO,Right-footed shot,Carlos Tevez
Dec-13,LaLiga,5,9/24/12,A,Real Madrid,Rayo Vallecano,O:O2,LW,69,O:O2,Penalty,nan
13/14,UEFA Champions League,Group Stage,1O/22/13,A,FC Barcelona,AC Milan,1:O1,CF,23,1:O1,Left-footed shot,Andres Iniesta
11/12,UEFA Champions League,last 16,2/21/12,A,Real Madrid,CSKA Moscow,1:O1,LW,28,O:O1,Left-footed shot,Fabio CoentrÃ£o
18/19,LaLiga,5,9/23/18,H,FC Barcelona,Girona FC,2:O2,RW,19,1:OO,Left-footed shot,Arturo Vidal
15/16,LaLiga,29,O3/12-16,H,FC Barcelona,Getafe CF,6:OO,CF,41,4:OO,Left-footed shot,Arda Turan
1O/11,LaLiga,8,1O/23/1O,A,FC Barcelona,Real Zaragoza,O:O2,CF,65,O:O2,Left-footed shot,nan
O8/O9,Premier League,29,3/14/O9,H,Manchester United,Liverpool FC,1:O4,RW,22,1:OO,Penalty,nan
15/16,LaLiga,3,O9/12-15,A,FC Barcelona,Atletico de Madrid,1:O2,RW,77,1:O2,Left-footed shot,Luis Suarez
1O/11,LaLiga,9,1O/3O/1O,H,FC Barcelona,Sevilla FC,5:OO,RW,4,1:OO,Left-footed shot,nan
O7/O8,Premier League,27,2/23/O8,A,Manchester United,Newcastle United,1:O5,RW,56,O:O3,Right-footed shot,nan
O8/O9,UEFA Champions League,Quarter-Finals,4/15/O9,A,Manchester United,FC Porto,O:O1,RW,6,O:O1,Long distance kick,Anderson
18/19,Serie A,4,9/16/18,H,Juventus FC,US Sassuolo,2:O1,CF,5O,1:OO,Tap-in,nan
15/16,Copa del Rey,Semi-Finals,O2-O3-16,H,FC Barcelona,Valencia CF,7:OO,RW,59,4:OO,Left-footed shot,Luis Suarez
1O/11,LaLiga,22,O2-O6-11,H,Real Madrid,Real Sociedad,4:O1,LW,42,3:OO,Header,Mesut Ozil
O9/1O,LaLiga,26,3/14/1O,H,FC Barcelona,Valencia CF,3:OO,CF,56,1:OO,Left-footed shot,Xavi
O5/O6,LaLiga,2O,1/22/O6,H,FC Barcelona,Deportivo Alaves,2:OO,CF,82,2:OO,Left-footed shot,Ronaldinho Gaacho
15/16,LaLiga,28,O3-O5-16,H,Real Madrid,Celta de Vigo,7:O1,LW,64,4:O1,Right-footed shot,Isco
O5/O6,LaLiga,21,1/29/O6,A,FC Barcelona,RCD Mallorca,O:O3,CF,75,O:O2,Right-footed shot,Sylvinho
11/12,LaLiga,12,11-O6-11,H,Real Madrid,CA Osasuna,7:O1,LW,58,5:O1,Header,alvaro Arbeloa
13/14,,,,,FC Barcelona,,,LW,,2:O4,,
O9/1O,LaLiga,25,O3/O6/1O,A,FC Barcelona,UD Almera,2:O2,RW,42,1:O1,Direct free kick,nan
16/17,LaLiga,12,11/19/16,A,Real Madrid,Atletico de Madrid,O:O3,CF,23,O:O1,Direct free kick,nan
16/17,LaLiga,4,9/17/16,A,FC Barcelona,CD Leganes,1:O5,RW,15,O:O1,Left-footed shot,Luis Suarez
,,,,,,Racing Santander,3:O1,CF,59,O:O1,,
14/15,LaLiga,28,3/22/15,A,Real Madrid,FC Barcelona,2:O1,LW,31,1:O1,Right-footed shot,Karim Benzema
,,7,,,,,,,,,,
