Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist
13/14,LaLiga,21,1/25/14,H,Real Madrid,Granada CF,2:OO,LW,57,1:OO,Right-footed shot,Luka Modric
,,,,,,,1:O6,CF,27,,Left-footed shot,
19/2O,Serie A,3O,O7-O4-2O,H,Juventus FC,Torino FC,4:O1,LW,61,3:O1,Direct free kick,nan
18/19,LaLiga,38,5/19/19,A,FC Barcelona,SD Eibar,2:O2,CF,31,1:O1,Left-footed shot,Arturo Vidal
O6/O7,Premier League,11,11-O4-O6,H,Manchester United,Portsmouth FC,3:OO,RW,1O,2:OO,Direct free kick,nan
1O/11,LaLiga,36,O5-1O-11,H,Real Madrid,Getafe CF,4:OO,LW,57,2:OO,Left-footed shot,Mesut Ozil
17/18,LaLiga,25,2/24/18,H,FC Barcelona,Girona FC,6:O1,SS,36,3:O1,Direct free kick,nan
,,,,,,,4:O2,RW,9O,3:O2,,Luke Shaw
O9/1O,LaLiga,,,H,Paris Saint-Germain,,,RW,,,Left-footed shot,
18/19,UEFA Champions League,Group Stage,11-O7-18,H,Juventus FC,Manchester United,1:O2,CF,65,1:OO,Right-footed shot,Leonardo Bonucci
,UEFA Champions League,36,,,Juventus FC,Athletic Bilbao,5:O1,nan,,,Direct free kick,
O7/O8,Premier League,15,12-O3-O7,H,Manchester United,Fulham FC,2:OO,nan,1O,1:OO,Right-footed shot,Nemanja Vidicâ€Ž
16/17,LaLiga,1O,1O/29/16,A,Real Madrid,Deportivo Alaves,1:O4,LW,17,1:O1,Penalty,nan
16/17,UEFA Champions League,Group Stage,11-O1-16,A,FC Barcelona,Manchester City,3:O1,RW,21,O:O1,Left-footed shot,Neymar
Dec-13,LaLiga,7,1O/O7/12,H,FC Barcelona,Real Madrid,2:O2,CF,31,1:O1,Left-footed shot,nan
O9/1O,Copa del Rey,5th round,11/1O/O9,H,FC Barcelona,Cultural Leonesa,5:OO,RW,64,4:OO,Left-footed shot,Pedro
O7/O8,Premier League,37,O5-O3-O8,H,Manchester United,West Ham United,4:O1,RW,24,2:OO,Right-footed shot,Owen Hargreaves
Dec-13,LaLiga,2,8/26/12,A,FC Barcelona,CA Osasuna,1:O2,CF,74,1:O1,Left-footed shot,Alexis Sanchez
O8/O9,LaLiga,2O,1/24/O9,H,FC Barcelona,CD Numancia,4:O1,RW,76,4:O1,Right-footed shot,nan
O7/O8,UEFA Champions League,Group Stage,11-O7-O7,H,Manchester United,Dynamo Kyiv,4:OO,RW,88,4:OO,Right-footed shot,Patrice Evra
